Date,Open,High,Low,Close,Volume,Ticker
2012-01-03,1274.75,1280.0,1270.25,1272.0,1565370,ES=F
2012-01-04,1272.0,1274.75,1262.75,1273.0,1419339,ES=F
2012-01-05,1273.25,1278.0,1259.75,1273.0,1819520,ES=F
2012-01-06,1273.25,1282.25,1266.75,1274.25,1691991,ES=F
2012-01-09,1274.75,1277.75,1267.25,1275.5,1438170,ES=F
2012-01-10,1275.0,1292.0,1274.5,1286.0,1531383,ES=F
2012-01-11,1286.0,1289.5,1279.25,1288.25,1800297,ES=F
2012-01-12,1288.25,1297.5,1280.75,1291.75,1755528,ES=F
2012-01-13,1292.0,1295.0,1272.75,1289.0,2115831,ES=F
2012-01-17,1285.25,1302.5,1281.25,1289.25,1837834,ES=F
2012-01-18,1289.0,1304.25,1286.5,1302.25,2008751,ES=F
2012-01-19,1302.75,1311.5,1299.25,1310.5,1837168,ES=F
2012-01-20,1310.0,1311.75,1304.75,1310.75,1420429,ES=F
2012-01-23,1307.5,1318.25,1305.0,1311.0,1609178,ES=F
2012-01-24,1311.25,1311.75,1301.5,1311.5,1478167,ES=F
2012-01-25,1311.25,1324.75,1303.0,1320.25,1973502,ES=F
2012-01-26,1320.75,1329.75,1309.25,1315.25,2012742,ES=F
2012-01-27,1314.75,1319.25,1307.0,1312.5,1730821,ES=F
2012-01-30,1314.0,1314.5,1296.0,1309.0,1710571,ES=F
2012-01-31,1309.0,1317.5,1302.25,1308.25,1894426,ES=F
2012-02-01,1307.75,1327.0,1303.75,1319.75,1904608,ES=F
2012-02-02,1320.25,1326.0,1317.0,1322.75,1357576,ES=F
2012-02-03,1322.75,1342.0,1320.0,1339.0,1710648,ES=F
2012-02-06,1336.5,1340.5,1330.25,1339.0,1196876,ES=F
2012-02-07,1339.0,1345.75,1331.75,1344.75,1498861,ES=F
2012-02-08,1344.25,1348.25,1338.25,1347.0,1540962,ES=F
2012-02-09,1347.0,1352.75,1340.75,1348.25,1755116,ES=F
2012-02-10,1348.0,1348.25,1333.75,1340.5,1713982,ES=F
2012-02-13,1347.25,1352.25,1342.75,1349.0,1235174,ES=F
2012-02-14,1349.25,1352.0,1337.75,1347.75,1739688,ES=F
2012-02-15,1347.5,1358.0,1338.0,1342.25,2282387,ES=F
2012-02-16,1341.75,1357.25,1334.25,1354.75,1962084,ES=F
2012-02-17,1354.75,1361.25,1353.0,1359.75,1250939,ES=F
2012-02-21,1366.75,1369.5,1355.75,1360.0,1584418,ES=F
2012-02-22,1359.75,1364.0,1353.0,1356.0,1439240,ES=F
2012-02-23,1356.0,1363.75,1350.25,1363.0,1602052,ES=F
2012-02-24,1363.0,1368.5,1361.5,1363.25,1165825,ES=F
2012-02-27,1363.25,1370.75,1353.0,1367.25,1662699,ES=F
2012-02-28,1367.25,1373.75,1364.5,1371.5,1540432,ES=F
2012-02-29,1371.25,1377.25,1356.75,1364.5,2280683,ES=F
2012-03-01,1362.25,1375.25,1358.75,1374.5,1966089,ES=F
2012-03-02,1374.5,1377.0,1365.0,1368.75,1458860,ES=F
2012-03-05,1367.25,1369.5,1358.0,1364.5,1535936,ES=F
2012-03-06,1364.0,1365.75,1338.5,1342.0,2450910,ES=F
2012-03-07,1341.5,1354.25,1341.25,1352.75,1893777,ES=F
2012-03-08,1352.75,1368.5,1350.5,1366.5,1832191,ES=F
2012-03-09,1366.25,1374.5,1363.25,1372.5,1063406,ES=F
2012-03-12,1372.75,1372.75,1366.0,1372.5,905373,ES=F
2012-03-13,1372.5,1397.0,1371.5,1396.25,1026961,ES=F
2012-03-14,1396.5,1399.75,1390.0,1394.25,511161,ES=F
2012-03-15,1394.0,1403.0,1390.5,1401.75,354750,ES=F
2012-03-16,1401.5,1406.25,1400.0,1405.75,1384158,ES=F
2012-03-19,1397.25,1408.0,1393.5,1404.0,1525304,ES=F
2012-03-20,1404.0,1405.0,1391.75,1400.0,1583682,ES=F
2012-03-21,1400.0,1405.75,1394.25,1397.5,1533579,ES=F
2012-03-22,1397.75,1400.75,1382.5,1389.0,1682418,ES=F
2012-03-23,1389.0,1395.25,1380.5,1394.0,1559341,ES=F
2012-03-26,1393.75,1415.5,1392.5,1415.0,1456063,ES=F
2012-03-27,1415.0,1419.75,1406.0,1406.5,1251826,ES=F
2012-03-28,1406.25,1412.25,1392.0,1400.25,1759121,ES=F
2012-03-29,1399.5,1404.0,1386.25,1398.25,1827754,ES=F
2012-03-30,1398.0,1406.25,1395.75,1403.25,1619524,ES=F
2012-04-02,1407.25,1417.75,1399.0,1412.5,1718652,ES=F
2012-04-03,1412.0,1414.25,1399.5,1408.75,1673086,ES=F
2012-04-04,1409.0,1409.0,1388.5,1393.25,1834777,ES=F
2012-04-05,1393.25,1397.75,1384.0,1390.25,1539342,ES=F
2012-04-09,1375.0,1382.75,1371.75,1375.0,1083274,ES=F
2012-04-10,1374.25,1380.75,1352.5,1357.0,2522310,ES=F
2012-04-11,1357.75,1370.5,1357.5,1364.0,1739768,ES=F
2012-04-12,1364.25,1386.25,1363.25,1386.0,1852924,ES=F
2012-04-13,1385.75,1388.5,1363.75,1365.0,1936470,ES=F
2012-04-16,1366.0,1375.25,1360.5,1364.0,1959799,ES=F
2012-04-17,1364.25,1388.75,1359.25,1383.5,1848818,ES=F
2012-04-18,1383.75,1386.75,1377.75,1378.25,1848236,ES=F
2012-04-19,1378.75,1390.0,1365.5,1372.5,2631716,ES=F
2012-04-20,1373.75,1383.25,1371.25,1375.25,1808442,ES=F
2012-04-23,1372.25,1374.75,1354.0,1362.75,1848613,ES=F
2012-04-24,1363.0,1371.25,1361.0,1370.0,1440903,ES=F
2012-04-25,1370.75,1387.75,1369.5,1387.25,1827484,ES=F
2012-04-26,1387.25,1398.25,1381.0,1396.75,1666603,ES=F
2012-04-27,1396.75,1403.0,1386.5,1398.5,1616584,ES=F
2012-04-30,1400.25,1402.5,1389.75,1393.5,1322300,ES=F
2012-05-01,1394.25,1411.75,1391.25,1400.5,1305665,ES=F
2012-05-02,1400.5,1404.75,1389.25,1397.5,1682321,ES=F
2012-05-03,1397.5,1402.75,1384.5,1386.0,1761579,ES=F
2012-05-04,1386.5,1389.0,1361.5,1362.5,2076198,ES=F
2012-05-07,1354.0,1370.25,1342.5,1365.75,1610579,ES=F
2012-05-08,1365.25,1368.0,1343.75,1358.5,2307638,ES=F
2012-05-09,1359.0,1360.75,1339.25,1351.0,2523438,ES=F
2012-05-10,1351.25,1363.75,1345.75,1357.5,1839321,ES=F
2012-05-11,1357.5,1363.25,1344.0,1350.0,1840516,ES=F
2012-05-14,1346.0,1351.0,1333.25,1334.0,1912994,ES=F
2012-05-15,1334.5,1347.0,1325.5,1328.25,2402932,ES=F
2012-05-16,1328.75,1339.75,1320.75,1322.5,2282620,ES=F
