Rank,Name,Ticker,Count,Perc_Change,Daily_Count
479174,New York Times,NYT,4,300%,18
585175,Direxion Shares ETF Trust - Direxion Daily S&P Oil & Gas Exp. & Prod.,DRIP,4,300%,9
633176,Target Hospitality,TH,4,100%,5
121177,Principal Exchange-Traded Funds - Principal Investment Grade Corporate,IG,4,-33%,401
58178,BP,BP,4,100%,12
696179,DoorDash,DASH,4,300%,11
737180,Lockheed Martin,LMT,4,300%,18
790181,Paymentus,PAY,4,N/A,20
805182,"Vanguard Group, Inc. - Vanguard Information Technology ETF",VGT,4,300%,55
839183,SM Energy,SM,4,N/A,98
846184,ITT,ITT,4,300%,209
926185,Bed Bath & Beyond,BBBY,4,100%,9
80186,Hawaiian Electric Industries,HE,3,200%,19
62187,Anaplan,PLAN,3,200%,11
71188,The Trade Desk,TTD,3,200%,9
79189,ProShares Trust - ProShares Ultra Bloomberg Natural Gas,BOIL,3,200%,4
87190,Post Holdings,POST,3,N/A,3
132191,Petrobras,PBR,3,200%,9
23192,Virgin Galactic,SPCE,3,200%,-4
171193,WideOpenWest,WOW,3,200%,6
60194,Upstart,UPST,3,-63%,10
231195,Affirm,AFRM,3,-25%,9
21196,EverQuote,EVER,3,200%,12
292197,Sensata Technologies,ST,3,200%,28
122198,Foot Locker,FL,3,-25%,7
337199,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bear 3X Share,SOXS,3,200%,4
366200,NovaGold Resources,NG,3,200%,6
